;DATASET;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mse;rmse;mae;wape;mape;LOSS;VAL_LOSS
64;supply;xgb;64;('gbtree', 100, 5, 0.5, 0.5, 3);24;3.0;1;;;;Adam;;minmax;0.0236337184906005;294.88822865486145;910634.75;730.64246;609.1528;0.041973048490769;0.04367259;;
65;supply;xgb;65;('gbtree', 100, 5, 0.5, 0.5, 4);24;3.0;1;;;;Adam;;minmax;0.0277628898620605;380.3005471229553;931239.75;735.34894;612.5159;0.041748728166139;0.04338148;;
66;supply;xgb;66;('gbtree', 100, 5, 0.5, 0.5, 5);24;3.0;1;;;;Adam;;minmax;0.0152459144592285;73.45613431930542;918549.56;718.64453;597.03204;0.0405258513507275;0.04211161;;
67;supply;xgb;67;('gbtree', 100, 5, 0.5, 0.5, 6);24;3.0;1;;;;Adam;;minmax;0.0351192951202392;938.5872094631196;904957.1;702.4737;580.8572;0.0391972359564727;0.040722;;
68;supply;xgb;68;('gbtree', 100, 5, 0.5, 0.6, 3);24;3.0;1;;;;Adam;;minmax;0.0238575935363769;327.03515553474426;904254.5;726.60565;605.0005;0.0416890668813013;0.043388642;;
69;supply;xgb;69;('gbtree', 100, 5, 0.5, 0.6, 4);24;3.0;1;;;;Adam;;minmax;0.0283975601196289;453.7878937721253;915248.4;724.70807;601.6703;0.0411598565960326;0.042803302;;
70;supply;xgb;70;('gbtree', 100, 5, 0.5, 0.6, 5);24;3.0;1;;;;Adam;;minmax;0.0299701690673828;705.8097059726715;903367.0;709.71906;588.0786;0.0399822516555792;0.041555006;;
71;supply;xgb;71;('gbtree', 100, 5, 0.5, 0.6, 6);24;3.0;1;;;;Adam;;minmax;0.0350902080535888;244.23020815849304;905388.3;702.7009;580.92804;0.0391999939255294;0.04069707;;
72;supply;xgb;72;('gbtree', 100, 5, 0.5, 0.8, 3);24;3.0;1;;;;Adam;;minmax;0.0254654884338378;363.3655278682709;908849.44;729.4641;607.74005;0.0418107139082094;0.043505274;;
73;supply;xgb;73;('gbtree', 100, 5, 0.5, 0.8, 4);24;3.0;1;;;;Adam;;minmax;0.0281720161437988;422.4131288528442;903144.4;721.34155;599.44666;0.0409351142459149;0.042556763;;
